год;месяц;t;вар 1;вар 2;вар 3;вар 4;вар 5;вар 6;вар 7;вар 8;вар 9;вар 10;вар 11;вар 12;вар 13;вар 14;вар 15;вар 16;вар 17;вар 18;вар 19;вар 20;вар 21;вар 22;вар 23;вар 24;вар 25;вар 26;вар 27;вар 28;вар 29;вар 30;вар 31;вар 32;вар 33;вар 34;вар 35;вар 36;вар 37;вар 38;вар 39;вар 40;вар 41;вар 42;вар 43;вар 44;вар 45;вар 46;вар 47;вар 48
2007;1;1;15;24;15;12;20;25;18;18;13;270;270;300;25;24;24;10;17;20;15;17;10;555;260;320;18;24;18;15;13;20;15;15;15;250;270;280;23;18;27;10;19;15;12;13;15;275;280;300
2007;2;2;16.35953332;25.8474223;17.44562156;14.70888807;23.02001822;30.19080316;20.81008698;20.52585427;15.59041276;274.5772978;284.7812726;320.2178941;26.86971952;24.55609375;24.90484189;18.47006723;18.77119367;21.72696256;17.29933313;18.51239828;11.27492133;560.7812616;269.0732276;329.1229607;19.53779958;24.00785609;19.35854257;17.3457411;15.71126469;23.82441807;17.33780946;17.23700375;17.86358182;256.9587482;275.8186035;294.3152372;24.10201622;19.444204;28.14213012;16.74167604;21.86386561;17.45463264;19.8107357;15.50327304;18.21602676;281.0269911;291.3687297;307.9877942
2007;3;3;29.6298597;28.42235413;15.12040985;22.1223818;18.38544187;13.3452399;4.929207282;24.0837877;22.65499137;249.633323;219.5031128;260.1328883;20.52060943;26.930884;25.28938683;9.917397142;14.04227743;11.62275232;13.76633985;21.11404659;18.47317758;559.4573236;230.3528825;242.8155658;25.53234638;23.68780009;26.49103988;16.93909754;14.82580933;18.44561013;17.68193385;26.55052276;23.50239589;274.5758605;236.9078735;245.3989212;24.11817654;28.08038839;25.27030991;9.971617876;13.23957141;12.96074698;12.64578971;18.06263293;28.74368234;278.0275114;221.3806541;279.4879576
2007;4;4;31.58514487;27.02041362;10.01147738;10.24525999;19.89454959;8.400532225;20.8735506;11.75104821;12.16201229;220.4148139;250.1021223;207.5167829;21.91619743;28.58008848;17.47264166;19.33655006;18.90584039;13.62582828;16.30182869;26.37854211;19.99525856;533.3049122;270.594216;193.9487512;28.24951888;23.00134176;24.06227542;7.136110413;17.91599983;10.37076511;17.00402873;26.24650448;23.55588587;233.7100571;241.4559814;178.2124353;22.5321112;23.90243778;24.48445374;10.04046455;21.12469426;14.17551942;9.131300132;26.58864165;15.92758362;231.1543062;225.7877797;191.4957483
2007;5;5;33.01994493;13.01043086;15.03031339;6.883992672;17.03902417;15.78111272;19.70301389;23.53516622;12.99550281;217.8184354;246.9225161;187.3742068;30.27187415;24.20592314;21.36086954;2.805733554;10.62880561;16.31365558;17.29458018;21.03012775;28.1286219;507.8572984;255.8426766;173.6153068;30.48195469;15.97936534;12.48440872;18.19114222;9.761735001;15.1166617;18.20275876;27.27317194;24.24165237;221.5017609;256.7923494;171.9803817;22.54128019;18.93261397;21.87652135;3.751104837;9.880194468;9.96244386;14.03619179;21.24370052;24.77950629;199.6614109;253.184416;170.0699501
2007;6;6;23.23998567;31.52169757;12.369336;0.90107312;2.06000444;14.01168662;23.4300632;17.36607382;26.08729016;197.068989;170.3446912;177.996732;31.2158666;20.93788247;16.51996037;15.7116426;14.7024844;10.60937439;12.38487553;26.91976465;23.05224353;496.811709;143.5761383;199.7355519;20.83061217;20.45938932;13.1465841;13.87484331;6.28279658;6.125291145;17.55235689;20.98156685;13.96419173;187.4339462;201.0656295;160.4989686;31.53435973;21.87480504;21.16234845;2.76289364;9.464914543;2.809209445;7.150027321;21.6478078;21.58411718;190.5359974;164.2994031;196.7326187
2007;7;7;16.13859111;25.65821434;21.59383186;10.18984154;9.091921533;4.723280923;17.29027778;17.40687431;21.62168057;176.7166307;110.6886875;175.0691462;18.5975762;17.87164074;16.42717277;13.04567145;8.024451766;8.328471172;15.43339574;21.43936592;11.62553235;485.1259263;123.045235;189.3948493;12.55966558;17.69465654;14.64286399;6.842638659;11.13123141;2.2;6.404201884;17.95298675;18.68456424;168.6899669;97.32509244;201.2899387;18.06816554;27.42514321;11.84888436;13.12674487;5.812964979;10.38722339;15.30812463;14.2752912;13.64712953;188.6486504;125.4738884;195.1595548
2007;8;8;10.60859961;9.304920576;11.28856419;9.062119028;10.67968475;5.204979238;17.03881061;16.13361128;22.07854913;178.3417288;154.3609141;188.6244799;16.70459284;11.27197052;8.746976737;7.844039908;7.052513959;5.359632917;19.26713377;25.31659343;23.13050469;479.2789681;143.7904555;173.4987429;7.322949313;14.49967051;11.56806189;0.862763155;20.80744439;3.167558427;14.69194048;20.94621121;15.34114012;191.9631024;133.9990907;153.7787885;16.45556541;16.53203502;1.151918112;4.178234207;14.44917244;7.653146296;16.07761483;10.61507621;18.70623301;183.7294137;153.1512278;138.1811791
2007;9;9;13.08836867;11.15468126;1.1;20.28398784;6.349941617;15.36265056;12.82187355;16.55146711;17.19140566;158.8547584;195.0725575;121.5549009;16.69704948;7.732500935;4.966718904;13.72362455;9.839245108;15.47864464;6.98659305;20.13183303;24.55307887;467.5539687;189.2021017;126.3008635;17.73914758;13.97894457;9.159650373;12.97944122;4.227359575;15.55448075;8.344324625;25.68174125;17.67566296;169.8363044;175.4513663;127.8208186;22.03981186;20.13903806;17.58268758;6.276103127;7.432754898;9.937848479;9.467559736;26.40236097;16.58295406;168.7732427;179.565435;93.64163004
2007;10;10;16.21509083;10.77052587;19.2286644;9.540786397;2.138120958;18.08712708;6.515091566;20.82771538;12.81821104;180.5081524;160.0403173;119.5328202;23.39237044;5.870893203;15.17304934;11.43483216;15.64678452;18.55098324;5.073104803;19.4019398;17.73697733;473.0554499;138.6381713;116.7080948;14.06799442;20.32546157;8.508156351;14.36565336;5.368721053;11.38430716;5.944153021;11.44383116;17.97570457;193.2724266;130.274809;123.2444307;18.2627262;15.39827986;14.53027101;8.736527302;6.20974569;15.11664806;14.92258502;25.39207892;14.09503101;186.1643031;151.3308326;140.0168237
2007;11;11;20.07653513;19.70270574;16.24590986;14.829199;16.89498376;8.21992106;2.586606682;22.7339326;27.09164826;155.0737255;134.9434119;149.4739374;17.61253473;14.21360999;14.84369854;13.18194507;7.674298497;9.097317728;13.90452649;11.55564585;16.00614505;472.3603626;144.1186103;149.1168053;25.30891233;17.85863692;16.55082184;9.998094324;8.359620414;12.63684363;10.99633088;27.74055967;26.67589892;181.7837592;152.3215848;125.4248907;24.14593161;23.0734923;13.96528283;11.26335677;12.96369294;7.546896247;9.349169303;7.671232886;20.8731247;212.3899874;130.140645;136.6267697
2007;12;12;28.52238653;31.06493962;20.67523361;10.18051967;9.816877825;17.06346627;13.68735875;20.08384946;27.76637526;192.8449816;223.5013274;206.3468688;29.4499906;21.8355473;28.43761703;18.20203226;14.03422341;18.05907378;17.89516197;23.74348548;23.23044855;462.7485899;212.4336376;210.221601;33.17637938;19.69403305;27.10089981;10.37638583;17.25492766;16.67329971;12.17415679;31.00738996;35.56179091;204.8204326;199.356103;200.0584291;18.90516836;25.81031856;26.39312082;7.224244165;9.92399157;16.69891448;27.63237565;17.8778455;37.78056797;193.4230811;183.9855282;179.7167748
2008;1;13;32.96143148;29.86400063;30.04780578;18.24100284;20.13827618;17.00682513;26.67846329;33.35906823;24.24028096;213.5688609;243.5055583;259.4768462;39.74123663;32.88219502;40.54120179;22.38521994;26.98147802;29.20849721;14.17733362;24.42386644;29.99396641;496.8083607;283.2390806;232.9932637;36.8006313;37.48905776;38.31083539;19.65804317;20.53760034;19.72313294;21.71860979;27.341733;26.95560026;205.7217576;251.0290618;259.9439702;40.05002975;35.48566812;43.62913035;20.12990565;16.67595199;25.78140332;21.75680188;24.06866563;33.43699075;202.1716546;261.7823603;272.918434
2008;2;14;44.23030623;43.83977676;39.20564636;23.46943543;23.63940005;25.28301883;27.01557416;32.31369915;30.51575002;212.3637916;221.4404546;250.6805247;53.68533994;48.98603331;35.41952539;20.06478261;25.69792986;19.58531518;24.78442362;34.97291441;40.68175867;505.6563783;241.5953704;257.6160887;48.24337659;46.86876464;33.80835962;24.55360081;34.02324784;23.28877279;28.6354703;39.01883423;27.48161616;214.0173785;232.6688294;270.5129478;49.67874969;54.80235287;41.93659843;21.33752795;26.2200856;19.96441312;31.39535835;30.37564643;35.12145683;208.1831443;211.3231585;278.4716299
2008;3;15;42.63776754;49.41608347;47.09650879;19.5901315;17.73047868;24.7384196;30.99946077;31.34973852;39.76397065;209.0574222;180.2549686;185.2223595;45.86320449;36.14523301;41.623614;9.476297974;25.85117753;23.73492833;28.95514781;36.24005711;30.32873461;509.9963706;169.186116;203.8970916;47.32652118;55.66766;51.4628538;23.03750881;22.50514869;7.600622821;29.39643998;34.18066443;34.07239599;191.6133639;178.1052577;186.2751331;53.95492001;44.52147889;40.83699139;16.26957392;20.85853973;22.92738595;26.55326838;30.75911207;35.8999832;201.8231857;163.2950176;182.6719737
2008;4;16;52.49284569;49.84053078;39.32996005;28.21154788;16.03028561;23.69409938;26.28519194;35.75407627;30.669985;167.0865653;181.8939526;147.5160729;56.30225871;44.90834089;41.4665167;3.972505498;15.88516491;17.4930263;19.6320797;30.93162683;25.51561743;462.5677446;176.4037165;121.1423671;53.4957647;49.51647473;46.2804602;16.35830613;13.92420004;20.13430166;23.08754545;30.29318999;34.08276511;167.2208249;181.663411;139.7231923;50.09264971;42.36684579;38.01670878;16.4669796;17.37221789;12.25159755;22.52254949;43.31649309;29.19404936;175.3387683;200.6654589;129.2774037
2008;5;17;54.17294462;58.29903613;39.47423785;7.953754306;14.70296332;21.75921938;18.95811549;31.90826971;44.51875289;172.5793739;194.876584;94.63105619;58.6147562;53.71638968;35.9876102;13.48304661;18.03541247;25.88010216;22.52390275;41.28747728;29.90510499;445.943801;186.1548899;115.5765701;57.07066857;54.66470069;49.64017571;13.80379646;13.21030765;27.07181628;19.71279668;30.2432375;31.03718679;146.088748;222.1873429;130.3943331;51.03757148;44.75728859;36.28903527;17.12219223;10.54482023;21.18682658;26.80199591;40.21498027;37.72562457;178.1752055;197.0654014;123.7746281
2008;6;18;49.12952487;51.81815895;36.67090621;15.09571244;10.08821258;10.90491201;21.98676256;34.29388157;32.21501421;139.0771661;101.2924588;120.5201097;45.69169095;43.77594746;50.64014053;19.23521142;13.52176272;15.95985098;19.55488369;29.23388472;30.00725075;422.8247268;97.55583246;135.1567216;54.6213874;48.30019379;50.49982158;5.451558174;15.69516982;21.6129662;22.88065411;34.42723264;23.25358805;131.8827576;129.5709397;143.3443714;54.21037161;65.35963782;47.34944671;12.65699315;5.981241383;9.496905448;21.81788022;32.1714681;31.37440113;149.4351369;122.9149187;133.6897446
2008;7;19;46.32794402;55.66400129;43.53611523;11.04837271;21.71021652;10.97929562;13.86449363;23.47680621;31.62976412;138.6808008;57.08764149;150.0700413;46.67294581;62.11218222;35.54931366;11.08199749;13.72753646;11.84877377;27.61425094;31.13454771;30.72066236;436.9140572;73.87968512;148.8648865;45.48935591;55.875661;36.93757073;5.346673044;14.4226005;4.322590155;14.78945727;23.88984588;34.97534405;125.4100663;67.98959371;133.3873713;51.83693885;49.52304562;32.56801925;13.46109453;8.457698915;18.06260831;20.03048792;24.00805634;35.8903033;132.1256757;54.68897858;164.782002
2008;8;20;52.4108243;47.85252399;49.64663657;9.107529744;17.15941637;19.2105064;25.44415634;33.96889995;32.64499196;134.0937837;106.6304989;121.1328638;39.78526531;51.92106524;36.60853815;12.16331274;14.41485516;10.11083301;20.53204071;27.20501066;36.17185963;418.7116675;79.21455731;122.9401306;53.15433207;57.37999731;40.38331721;2.882235589;16.58352678;13.51731669;15.80795823;22.50155258;28.91738596;122.5192694;124.5020038;141.0719326;49.55298542;54.26802022;40.85319223;6.56221576;0.986975664;4.028809981;29.11293199;34.14058388;31.15110273;127.7357774;92.68321036;124.9705019
2008;9;21;52.77996095;57.5351722;41.43310105;9.069348105;15.07231388;17.63575829;16.51668167;31.7095513;43.30759563;139.5013039;137.0092868;79.95803592;48.70327772;55.92134872;38.45531308;13.89098441;12.31572881;20.29735426;14.45681485;30.09382882;36.18157624;385.0939734;136.8535833;82.51814815;46.17262749;50.73338822;38.75952931;21.20292645;7.91784631;24.82590275;21.60607296;33.12184792;31.37328139;131.1376138;136.3878865;88.34893356;47.81702609;42.83509383;41.13516035;15.07968812;6.086999456;12.24317704;10.30383918;34.72680457;28.52337832;140.2229687;154.3980726;82.39053635
2008;10;22;53.27550467;52.59973165;49.58844659;15.26381543;11.57134841;21.21646499;15.01090901;39.48454879;30.01301983;140.4024201;110.0410848;59.30173279;56.99925576;41.46747029;42.19316408;18.71054817;19.09848276;17.23080055;24.06990427;26.94676094;24.5656687;418.5367971;133.2920007;65.74144136;56.48937037;53.93230025;48.27106439;14.49698947;14.86136988;11.84257135;16.23350539;33.02268073;26.16544908;133.2416214;96.54176955;92.46921683;52.07109171;50.44382842;40.21257432;12.08499926;23.74017478;21.36823562;13.12981061;41.39378261;35.00769104;146.4299634;134.7241639;71.06644204
2008;11;23;63.47657095;59.28186023;48.94549946;14.96385987;12.35152566;24.14986038;19.14926629;40.54116014;36.77075862;137.3935084;109.3541696;109.8122022;70.70067443;63.51537786;42.10507161;6.92041991;4.375079743;19.90485156;17.66264015;26.50268848;36.27240448;429.099577;95.06038644;91.51292309;62.9235677;57.08220435;53.15762183;8.112351577;9.810623211;3.896821853;17.33902311;26.51315481;40.78727913;150.8084687;91.02999524;102.6617895;62.65259605;53.0962639;47.57375095;9.211370467;20.58413472;10.93915998;19.7084026;26.83486373;32.37257099;158.1878962;116.9158263;132.7077892
